查询引擎基本状态,0x01,0x20,CMD:[0x01]->[0x20]
查询引擎基本状态,0x01,0x00,CMD:[0x01]->[0x00]
查询引擎基本状态,0x01,0x02,CMD:[0x01]->[0x02]
查询引擎基本状态,0x01,0x08,CMD:[0x01]->[0x08]
查询引擎基本状态,0x01,0x00,CMD:[0x01]->[0x00]
查询引擎基本状态,0x01,0x20,CMD:[0x01]->[0x20]
查询引擎基本状态,0x01,0x00,CMD:[0x01]->[0x00]
打印准备要求,"0x52,0x01,0x01,0x5B,0x00,0x00,0x05","0x00,0x00,0x00,0x00,0x00,0x00,0x00","CMD:[0x52]->[0x00]
   :[0x01]->[0x00]
   :[0x01]->[0x00]
   :[0x5B]->[0x00]
   :[0x00]->[0x00]
   :[0x00]->[0x00]
   :[0x05]->[0x00]"
打印执行命令,"0x65,0x01","0x00,0x00","CMD:[0x65]->[0x00]
   :[0x01]->[0x00]"
查询打印管理,0x30,0x01,CMD:[0x30]->[0x01]
查询每一页A面的开始结束信息,0x31,0x00,CMD:[0x31]->[0x00]
查询每一页B面的开始结束信息,0x32,0x00,CMD:[0x32]->[0x00]
查询每一页的给纸信息,0x33,0x00,CMD:[0x33]->[0x00]
CTL画像准备完了通知,0x82,0x00,CMD:[0x82]->[0x00]
查询每一页B面的开始结束信息,0x32,0x01,CMD:[0x32]->[0x01]
打印执行命令,"0x65,0x02","0x00,0x00","CMD:[0x65]->[0x00]
   :[0x02]->[0x00]"
查询每一页的给纸信息,0x33,0x10,CMD:[0x33]->[0x10]
查询引擎基本状态,0x01,0x04,CMD:[0x01]->[0x04]
,"0xD8,0x01","0x04,0x02","CMD:[0xD8]->[0x04]
   :[0x01]->[0x02]"
查询打印错误信息,0x0D,0x20,CMD:[0x0D]->[0x20]
,0x70,0x00,CMD:[0x70]->[0x00]
查询引擎基本状态,0x01,0x00,CMD:[0x01]->[0x00]
查询引擎基本状态,0x01,0x04,CMD:[0x01]->[0x04]
查询打印错误信息,0x0D,0x10,CMD:[0x0D]->[0x10]
查询引擎基本状态,0x01,0x00,CMD:[0x01]->[0x00]
查询每一页A面的开始结束信息,0x31,0x01,CMD:[0x31]->[0x01]
查询引擎基本状态,0x01,0x02,CMD:[0x01]->[0x02]
查询每一页B面的开始结束信息,0x32,0x11,CMD:[0x32]->[0x11]
查询每一页的给纸信息,0x33,0x11,CMD:[0x33]->[0x11]
查询每一页A面的开始结束信息,0x31,0x11,CMD:[0x31]->[0x11]
查询打印管理,0x30,0x02,CMD:[0x30]->[0x02]
